sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,coding_score,communication_score,projects_count,certifications_count,status,salary
226,M,53.4,Central,75.08,Others,Commerce,62.94,Others,No,99.0,83.8,65.7,4,2,Placed,416000.0
227,F,78.15,Central,55.41,Central,Science,73.38,Sci&Tech,No,77.91,71.3,78.9,1,1,Placed,236000.0
228,M,61.48,Central,69.58,Central,Science,66.44,Others,Yes,69.74,52.3,68.7,2,2,Not Placed,
229,F,88.17,Central,89.4,Others,Science,62.93,Comm&Mgmt,Yes,84.56,71.3,71.3,2,2,Placed,484000.0
230,F,79.84,Others,57.07,Others,Science,77.71,Comm&Mgmt,Yes,79.29,95.9,81.9,2,1,Placed,428000.0
231,F,63.8,Others,40.0,Central,Commerce,78.45,Sci&Tech,No,78.54,89.5,50.1,2,1,Placed,425000.0
232,M,81.95,Others,63.91,Others,Science,63.3,Comm&Mgmt,Yes,80.78,71.1,88.8,2,1,Placed,399000.0
233,M,69.21,Others,78.89,Central,Science,53.8,Sci&Tech,No,98.18,85.3,73.9,1,4,Placed,476000.0
234,M,77.45,Others,88.15,Central,Science,75.36,Comm&Mgmt,No,59.93,66.9,68.1,2,2,Placed,417000.0
235,M,73.59,Others,53.72,Others,Commerce,62.67,Sci&Tech,No,79.18,48.1,71.9,1,3,Placed,447000.0
236,F,59.61,Others,72.36,Central,Science,73.73,Sci&Tech,Yes,62.38,59.1,72.5,3,1,Not Placed,
237,M,61.74,Others,61.97,Others,Commerce,53.02,Sci&Tech,No,80.17,93.9,52.2,1,2,Placed,421000.0
238,M,79.31,Central,65.86,Central,Science,74.49,Comm&Mgmt,No,62.48,68.2,90.9,0,2,Placed,343000.0
239,F,64.98,Central,95.56,Others,Science,58.72,Sci&Tech,No,68.49,68.6,73.5,2,2,Placed,445000.0
240,M,64.26,Central,50.77,Others,Commerce,73.28,Comm&Mgmt,No,69.96,67.8,78.3,2,4,Placed,424000.0
241,F,58.47,Others,69.74,Central,Commerce,67.91,Others,Yes,85.21,98.7,84.4,4,1,Placed,604000.0
242,F,72.95,Others,72.05,Others,Science,60.65,Sci&Tech,Yes,84.52,94.8,60.7,2,0,Placed,372000.0
243,F,90.16,Central,78.73,Central,Commerce,64.75,Comm&Mgmt,Yes,58.55,100.0,78.7,2,2,Placed,513000.0
244,M,57.29,Others,68.06,Others,Commerce,72.95,Sci&Tech,No,74.16,69.8,69.8,3,2,Placed,524000.0
245,M,68.75,Others,70.33,Central,Science,68.59,Comm&Mgmt,No,64.99,76.1,83.2,2,2,Placed,604000.0
246,F,83.33,Central,62.77,Central,Commerce,72.18,Sci&Tech,No,58.4,50.8,47.5,0,1,Not Placed,
247,M,67.66,Central,69.91,Central,Commerce,82.62,Comm&Mgmt,No,70.9,92.7,71.8,2,1,Placed,522000.0
248,F,73.25,Others,63.29,Others,Commerce,56.07,Comm&Mgmt,No,69.8,55.7,65.8,4,1,Not Placed,
249,F,57.34,Central,73.71,Others,Commerce,79.93,Others,Yes,99.0,75.0,78.2,2,1,Placed,305000.0
250,F,73.0,Others,63.01,Others,Commerce,68.58,Comm&Mgmt,No,78.7,56.6,78.6,1,2,Placed,484000.0
251,M,66.53,Central,71.07,Central,Commerce,61.06,Sci&Tech,No,56.97,63.8,64.5,1,2,Not Placed,
252,M,78.85,Others,66.68,Others,Commerce,57.82,Comm&Mgmt,No,66.72,60.3,64.5,1,1,Not Placed,
253,F,80.97,Others,79.16,Central,Commerce,66.38,Comm&Mgmt,No,85.76,63.5,71.7,2,1,Placed,359000.0
254,M,95.0,Others,66.44,Others,Commerce,74.71,Comm&Mgmt,No,98.56,64.5,62.2,2,1,Placed,493000.0
255,M,74.59,Others,47.85,Central,Commerce,66.84,Sci&Tech,Yes,54.47,64.3,83.1,1,1,Not Placed,
256,M,71.92,Central,80.63,Central,Commerce,79.13,Others,Yes,50.94,83.7,68.6,4,2,Placed,555000.0
257,F,70.54,Central,57.22,Central,Science,56.92,Comm&Mgmt,Yes,95.95,56.5,40.0,3,3,Not Placed,
258,F,64.79,Central,59.94,Others,Commerce,67.71,Comm&Mgmt,No,78.18,75.1,68.5,2,1,Placed,473000.0
259,M,72.05,Others,60.57,Others,Commerce,58.41,Sci&Tech,No,63.08,89.1,60.5,3,2,Placed,404000.0
260,M,65.4,Others,81.84,Central,Science,70.53,Comm&Mgmt,No,79.92,64.8,53.4,1,3,Placed,532000.0
261,F,70.27,Others,43.93,Others,Commerce,74.45,Sci&Tech,No,45.0,61.9,58.2,2,3,Not Placed,
262,F,82.33,Central,98.0,Others,Science,64.64,Comm&Mgmt,Yes,73.54,68.8,74.3,2,1,Placed,499000.0
263,M,57.93,Central,78.41,Others,Science,50.0,Sci&Tech,No,77.43,88.5,88.9,3,4,Placed,403000.0
264,M,80.47,Central,69.41,Central,Commerce,69.29,Comm&Mgmt,No,84.59,74.7,76.8,3,1,Placed,409000.0
265,F,82.33,Central,66.41,Central,Science,71.08,Others,No,61.33,64.6,65.7,1,1,Placed,537000.0
266,F,67.26,Others,70.08,Others,Commerce,70.83,Sci&Tech,No,74.53,78.8,78.5,4,0,Placed,494000.0
267,F,46.22,Central,72.63,Central,Commerce,77.07,Others,Yes,62.39,56.6,67.5,1,1,Not Placed,
268,F,62.12,Central,73.97,Central,Science,59.77,Sci&Tech,No,76.56,81.5,64.7,4,0,Placed,517000.0
269,M,82.12,Others,73.0,Others,Science,72.9,Comm&Mgmt,No,62.76,77.7,59.1,5,1,Placed,408000.0
270,M,68.26,Central,67.97,Others,Science,76.74,Comm&Mgmt,No,68.6,67.7,52.0,1,1,Placed,504000.0
271,F,58.01,Central,64.87,Central,Commerce,54.46,Comm&Mgmt,No,61.55,60.3,68.3,3,2,Not Placed,
272,F,63.2,Others,65.37,Central,Arts,70.2,Comm&Mgmt,Yes,81.31,59.6,74.9,0,3,Not Placed,
273,F,77.33,Central,64.89,Others,Commerce,64.02,Comm&Mgmt,Yes,83.8,79.5,71.8,2,1,Placed,481000.0
274,F,74.24,Others,79.24,Central,Science,67.19,Sci&Tech,Yes,70.68,89.2,68.0,2,3,Placed,386000.0
275,M,65.99,Others,73.41,Central,Commerce,70.41,Sci&Tech,Yes,73.96,63.1,61.7,2,3,Placed,466000.0
276,M,64.65,Others,40.0,Central,Science,64.15,Comm&Mgmt,No,56.12,78.4,80.3,4,2,Placed,671000.0
277,F,64.39,Central,74.08,Others,Commerce,62.73,Comm&Mgmt,Yes,69.9,42.8,57.2,3,0,Not Placed,
278,F,58.81,Others,69.1,Others,Science,68.06,Comm&Mgmt,No,72.9,63.8,82.3,2,2,Not Placed,
279,F,85.46,Central,66.8,Central,Commerce,59.65,Comm&Mgmt,No,99.0,71.6,61.0,3,3,Placed,563000.0
280,F,65.12,Central,62.8,Central,Science,59.66,Sci&Tech,Yes,60.16,59.3,64.0,4,2,Not Placed,
281,F,81.28,Central,79.14,Central,Arts,72.9,Comm&Mgmt,No,91.07,58.9,55.4,0,1,Placed,423000.0
282,M,84.47,Others,77.23,Others,Science,59.18,Sci&Tech,Yes,85.46,62.7,67.0,5,1,Placed,438000.0
283,M,78.98,Central,58.65,Central,Commerce,72.8,Comm&Mgmt,No,76.87,76.1,84.7,1,2,Placed,471000.0
284,M,63.97,Central,71.4,Central,Arts,71.27,Sci&Tech,Yes,94.6,69.4,79.2,3,1,Placed,557000.0
285,M,72.74,Others,56.51,Others,Science,54.86,Sci&Tech,Yes,77.97,40.7,84.7,1,0,Not Placed,
286,M,68.25,Central,52.1,Central,Arts,62.72,Sci&Tech,Yes,78.17,42.3,79.3,1,1,Not Placed,
287,M,59.01,Central,60.23,Others,Commerce,76.76,Sci&Tech,Yes,72.86,63.5,59.8,2,2,Placed,449000.0
288,M,71.91,Central,76.31,Central,Science,60.44,Comm&Mgmt,Yes,88.18,78.4,69.0,2,3,Placed,415000.0
289,M,56.12,Central,77.29,Central,Science,64.32,Sci&Tech,No,86.66,35.0,63.6,2,0,Not Placed,
290,M,80.97,Central,72.54,Central,Commerce,71.27,Sci&Tech,No,65.99,65.0,89.0,0,4,Placed,397000.0
291,M,63.62,Central,74.83,Others,Science,73.68,Sci&Tech,No,57.67,64.6,58.6,2,1,Not Placed,
292,M,70.61,Others,72.57,Others,Commerce,65.91,Sci&Tech,Yes,71.06,91.4,83.7,4,2,Placed,517000.0
293,F,71.47,Central,60.07,Others,Science,63.32,Sci&Tech,No,63.9,66.6,83.7,2,2,Placed,456000.0
294,M,65.78,Central,71.66,Central,Commerce,78.47,Sci&Tech,Yes,72.74,77.4,95.0,1,2,Placed,491000.0
295,M,74.66,Others,75.64,Others,Science,80.84,Comm&Mgmt,No,88.35,74.0,68.1,2,3,Placed,491000.0
296,M,63.51,Central,75.15,Central,Commerce,75.14,Comm&Mgmt,No,68.01,42.2,81.5,0,1,Not Placed,
297,F,77.65,Others,79.84,Central,Arts,68.44,Comm&Mgmt,Yes,72.99,82.8,100.0,3,3,Placed,426000.0
298,M,54.37,Central,74.65,Others,Arts,61.74,Sci&Tech,No,74.2,75.0,65.6,3,0,Placed,558000.0
299,F,69.83,Central,70.8,Central,Commerce,61.57,Sci&Tech,No,83.68,79.1,54.6,2,2,Placed,469000.0
300,M,88.86,Central,78.56,Central,Science,71.72,Comm&Mgmt,No,46.54,100.0,50.4,2,2,Placed,473000.0
